"","year","month","day","hour","P1.Sex","P2.Sex","Day.of.Week","Manner.of.Collision","First.Harmful.Event.Location","First.Harmful.Event","Ambient.Light","Weather.Condition.1","Weather.Condition.2","Traffic.Control.Device.Type","Traffic.Control.Device.Functionality","Road.Surface.Condition","Roadway.Junction.Type","Trafficway.Description","Street.or.Intersection","Intersection.Direction.1","Intersection.Direction.2","Street.Direction","v1.State.Code","V1.Hit.and.Run","V1.Action.Prior.to.Crash","V1.Occupant.Count","V1.Most.Damaged.Area","V1.Travel.Direction","V2.State.Code","V2.Hit.and.Run","V2.Action.Prior.to.Crash","V2.Occupant.Count","V2.Most.Damaged.Area","V2.Travel.Direction","P1.Role","P1.Drivers.Lic.State","P1.Drivers.Lic.Class.1","P1.Veh.Owner","P2.Drivers.Lic.State","P2.Drivers.Lic.Class.1","P2.Veh.Owner","First.Harmful.Event.LocationNA","First.Harmful.EventNA","Weather.Condition.2NA","Traffic.Control.Device.TypeNA","Traffic.Control.Device.FunctionalityNA","Trafficway.DescriptionNA","Intersection.Direction.1NA","Intersection.Direction.2NA","Street.DirectionNA","P1.Drivers.Lic.StateNA","P1.Drivers.Lic.Class.1NA","P2.Drivers.Lic.StateNA","P2.Drivers.Lic.Class.1NA"
"147",2015,2,16,19,"MALE","MALE","Monday","SIDESWIPE, OPPOSITE DIRECTION","UNKNOWN","COLLISION WITH PARKED MOTOR VEHICLE","DARK - LIGHTED ROADWAY","SNOW","CLEAR","NO CONTROLS","NO","SNOW","NOT AT INTERSECTION","UNKNOWN","NON INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,1,"PARKED","2","LEFT FRONT",1,1,1,"TURNING LEFT","2","OTHER",1,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,0,0,1,1,1,0,0,0,0
"148",2015,1,9,7,"MALE","MALE","Friday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","NORTHBOUND",1,0,"ENTERING TRAFFIC LANE","1","CENTER FRONT",1,1,0,"TRAVELING STRAIGHT AHEAD","2","RIGHT REAR",1,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,1,0,1,1,1,1,1,1,0,0,1,0,1
"149",2015,1,5,10,"MALE","FEMALE","Monday","SIDESWIPE, SAME DIRECTION","ROADWAY","COLLISION WITH PARKED MOTOR VEHICLE","DAYLIGHT","CLOUDY","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","ONE-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"PARKED","0","LEFT SIDE",1,1,0,"TRAVELING STRAIGHT AHEAD",NA,"OTHER",0,"UNINVOLVED OWNER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,1,0,1,1,1,0,1,0,1
"150",2015,2,3,12,"MALE","FEMALE","Tuesday","SINGLE VEHICLE CRASH","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","SNOW","OTHER","STOP SIGNS","YES","SNOW","T-INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","OTHER",0,1,0,"ENTERING TRAFFIC LANE","1","CENTER FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,0,0,0,0,1,1,1,0,0,0,0
"151",2015,5,23,9,"FEMALE","MALE","Saturday","ANGLE","ROADSIDE","OTHER","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","FOUR WAY INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","EASTBOUND","SOUTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",1,1,0,"TURNING LEFT","1","OTHER",1,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",1,0,0,1,1,0,0,0,0,1,0,0,0,0
"152",2015,2,13,16,"MALE","FEMALE","Friday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","STOP SIGNS","YES","DRY","T-INTERSECTION","UNKNOWN","INTERSECTION","SOUTHBOUND","NORTHBOUND","EASTBOUND",1,1,"TURNING LEFT","2","REAR CENTER",0,1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,0,0,0,1,1,0,0,0,1
"153",2015,12,29,15,"MALE","MALE","Tuesday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","OTHER","CLEAR","NO CONTROLS","YES","SNOW","NOT AT INTERSECTION","ONE-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","NORTHBOUND",1,0,"BACKING","1","LEFT REAR",0,1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",1,0,0,1,0,1,0,1,1,0,0,1,0,0
"154",2015,10,21,8,"FEMALE","MALE","Wednesday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLOUDY","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","NON INTERSECTION","EASTBOUND","NORTHBOUND","SOUTHBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","1","REAR CENTER",0,1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,1,0,1,1,0,0,0,0,0
"155",2015,4,11,17,"MALE","MALE","Saturday","SIDESWIPE, SAME DIRECTION","ROADSIDE","COLLISION WITH PARKED MOTOR VEHICLE","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","NON INTERSECTION","EASTBOUND","NORTHBOUND","SOUTHBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,1,0,"PARKED","1","LEFT SIDE",1,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,0,0,1,0,1,1,0,0,0,0,0
"156",2015,6,5,21,"FEMALE","MALE","Friday","ANGLE","ROADWAY","COLLISION WITH PARKED MOTOR VEHICLE","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","ONE-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"PARKED","1","REAR CENTER",1,1,0,"TURNING RIGHT","1","CENTER FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",0,1,0,1,0,1,0,1,1,1,0,1,1,1
"157",2015,7,23,19,"MALE","FEMALE","Thursday","REAR TO REAR","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DUSK","CLEAR","CLEAR","NO CONTROLS","YES","DRY","FOUR WAY INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","NORTHBOUND","WESTBOUND","EASTBOUND",1,0,"BACKING","1","RIGHT REAR",0,1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT SIDE",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,0,0,1,0,0,0,1,0,0,0,0
"158",2016,6,21,17,"MALE","FEMALE","Tuesday","SIDESWIPE, SAME DIRECTION","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","TRAFFIC CONTROL SIGNAL","YES","DRY","T-INTERSECTION","ONE-WAY, NOT DIVIDED","INTERSECTION","EASTBOUND","SOUTHBOUND","EASTBOUND",1,0,"ENTERING TRAFFIC LANE","1","RIGHT FRONT",0,1,0,"TRAVELING STRAIGHT AHEAD","1","LEFT SIDE",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",1,0,0,1,0,0,0,0,0,1,0,0,0,0
"159",2015,10,3,14,"FEMALE","FEMALE","Saturday","HEAD ON","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLOUDY","CLEAR","STOP SIGNS","YES","DRY","T-INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","SOUTHBOUND","WESTBOUND","EASTBOUND",1,0,"TURNING LEFT","1","CENTER FRONT",0,1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",0,0,0,1,0,0,0,0,0,1,0,1,0,1
"160",2016,5,8,18,"FEMALE","MALE","Sunday","UNKNOWN","ROADSIDE","COLLISION WITH PARKED MOTOR VEHICLE","DARK - LIGHTED ROADWAY","RAIN","CLEAR","OTHER","NO","UNKNOWN","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","NORTHBOUND",1,1,"PARKED","0","CENTER FRONT",1,1,1,"UNKNOWN",NA,"OTHER",1,"UNINVOLVED OWNER",1,"D, CLASS D VEHICLES",1,1,"UNKNOWN",1,0,0,1,0,0,0,1,1,0,0,0,1,0
"161",2015,2,18,19,"MALE","FEMALE","Wednesday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DARK - LIGHTED ROADWAY","CLEAR","CLEAR","STOP SIGNS","YES","OTHER","FOUR WAY INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","WESTBOUND","NORTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,1,0,"TRAVELING STRAIGHT AHEAD","2","RIGHT SIDE",0,"OPERATOR/DRIVER",0,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,0,0,0,0,1,0,1,0,0
"162",2015,12,12,4,"MALE","MALE","Saturday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DARK - LIGHTED ROADWAY","CLEAR","CLEAR","TRAFFIC CONTROL SIGNAL","YES","DRY","FOUR WAY INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","EASTBOUND","SOUTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,1,0,"SLOWING OR STOPPED IN TRAFFIC","1","RIGHT REAR",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",0,0,0,0,0,0,0,0,0,1,0,1,0,1
"163",2015,3,3,16,"MALE","MALE","Tuesday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","OTHER","T-INTERSECTION","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","INTERSECTION","NORTHBOUND","WESTBOUND","NORTHBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","1","REAR CENTER",0,1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,0,0,0,0,0,0,1,0,1
"164",2015,7,28,14,"FEMALE","MALE","Tuesday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","STOP SIGNS","YES","DRY","FOUR WAY INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","1","RIGHT FRONT",0,1,0,"TRAVELING STRAIGHT AHEAD","1","LEFT SIDE",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,0,0,1,1,1,0,1,0,1
"165",2016,3,17,16,"FEMALE","FEMALE","Thursday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","RAIN","CLEAR","NO CONTROLS","YES","WET","NOT AT INTERSECTION","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","NON INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","1","RIGHT REAR",1,1,0,"SLOWING OR STOPPED IN TRAFFIC","1","LEFT FRONT",1,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,1,0,1,1,1,0,0,0,0
"166",2015,3,1,15,"FEMALE","MALE","Sunday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLOUDY","CLOUDY","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","INTERSECTION","SOUTHBOUND","EASTBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","2","CENTER FRONT",0,0,0,"ENTERING TRAFFIC LANE","1","CENTER FRONT",0,"OPERATOR/DRIVER",0,"D, CLASS D VEHICLES",1,0,"D, CLASS D VEHICLES",1,0,0,0,0,1,0,0,0,1,0,1,0,1
"167",2015,5,31,14,"MALE","MALE","Sunday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLOUDY","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","2","REAR CENTER",0,1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,1,1,1,0,1,1,1,1,1,0,0,0,1
"168",2015,1,13,9,"MALE","MALE","Tuesday","SIDESWIPE, SAME DIRECTION","ROADWAY","COLLISION WITH PARKED MOTOR VEHICLE","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","WESTBOUND",1,0,"PARKED","1","LEFT SIDE",0,1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT SIDE",1,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,1,0,1,1,0,0,1,0,1
"169",2015,8,31,1,"MALE","MALE","Monday","ANGLE","UNKNOWN","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DARK - LIGHTED ROADWAY","CLEAR","CLEAR","STOP SIGNS","YES","DRY","FOUR WAY INTERSECTION","ONE-WAY, NOT DIVIDED","INTERSECTION","WESTBOUND","SOUTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,0,0,"TRAVELING STRAIGHT AHEAD","2","RIGHT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,0,"D, CLASS D VEHICLES",0,0,0,1,0,0,0,0,0,1,0,0,0,1
"170",2016,5,19,9,"MALE","FEMALE","Thursday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","OTHER","YES","DRY","FOUR WAY INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","1","LEFT FRONT",0,1,0,"OTHER","1","RIGHT REAR",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,0,0,0,0,1,1,1,0,0,0,0
"171",2016,3,1,15,"FEMALE","MALE","Tuesday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","T-INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","NORTHBOUND","WESTBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","LEFT FRONT",0,0,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,0,"OTHER",1,0,0,1,0,1,0,0,0,1,0,0,0,0
"172",2015,8,18,19,"MALE","MALE","Tuesday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLOUDY","CLEAR","STOP SIGNS","YES","DRY","FOUR WAY INTERSECTION","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN","INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,1,0,"ENTERING TRAFFIC LANE","2","LEFT REAR",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",1,0,1,1,0,0,0,0,0,1,0,0,0,0
"173",2016,5,4,5,"MALE","FEMALE","Wednesday","SIDESWIPE, SAME DIRECTION","ROADWAY","COLLISION WITH PARKED MOTOR VEHICLE","DARK - LIGHTED ROADWAY","CLEAR","CLEAR","NO CONTROLS","NO","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","WESTBOUND",1,1,"PARKED","0","REAR CENTER",0,0,1,"PARKED","0","RIGHT REAR",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,1,0,0,1,1,0,0,1,0,0
"174",2016,6,1,15,"FEMALE","MALE","Wednesday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN","NON INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","1","REAR CENTER",1,1,0,"SLOWING OR STOPPED IN TRAFFIC","1","OTHER",1,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"OTHER",1,0,0,1,0,1,0,1,1,0,0,0,0,0
"175",2015,2,11,17,"FEMALE","MALE","Wednesday","REAR-END","UNKNOWN","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","SNOW","OTHER","OTHER","YES","WET","T-INTERSECTION","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN","INTERSECTION","NORTHBOUND","EASTBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","REAR CENTER",0,1,0,"OTHER","1","CENTER FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"176",2015,1,26,18,"MALE","FEMALE","Monday","SIDESWIPE, OPPOSITE DIRECTION","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DARK - LIGHTED ROADWAY","SNOW","OTHER","STOP SIGNS","YES","SNOW","FOUR WAY INTERSECTION","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN","INTERSECTION","EASTBOUND","SOUTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,1,0,"SLOWING OR STOPPED IN TRAFFIC","2","RIGHT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,0,0,1,0,0,0,1,0,0,0,0
"177",2016,2,26,17,"FEMALE","FEMALE","Friday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","SOUTHBOUND",1,0,"TURNING LEFT","1","RIGHT FRONT",0,1,0,"TRAVELING STRAIGHT AHEAD","2","CENTER FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",1,1,1,1,1,1,1,1,1,0,0,1,0,1
"178",2015,5,20,19,"MALE","MALE","Wednesday","REAR TO REAR","ROADWAY","COLLISION WITH PARKED MOTOR VEHICLE","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","NO","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"PARKED","1","LEFT REAR",1,1,1,"BACKING","1","OTHER",1,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,0,0,0,1,1,1,1,0,0,0,0
"179",2015,7,20,18,"MALE","FEMALE","Monday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","REAR CENTER",0,0,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,"OPERATOR/DRIVER",0,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",0,0,0,1,0,0,0,0,1,0,0,0,0,0
"180",2015,7,10,12,"FEMALE","FEMALE","Friday","HEAD ON","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLEAR","STOP SIGNS","YES","DRY","FOUR WAY INTERSECTION","TWO-WAY, NOT DIVIDED","INTERSECTION","WESTBOUND","NORTHBOUND","EASTBOUND",0,0,"TRAVELING STRAIGHT AHEAD","1","LEFT FRONT",0,0,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,"OPERATOR/DRIVER",0,"D, CLASS D VEHICLES",1,0,"D, CLASS D VEHICLES",1,1,1,1,0,0,0,0,0,1,0,0,0,0
"181",2016,6,4,13,"MALE","MALE","Saturday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLOUDY","STOP SIGNS","NO","DRY","FOUR WAY INTERSECTION","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN","INTERSECTION","NORTHBOUND","EASTBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","2","LEFT SIDE",0,1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"182",2015,2,24,9,"FEMALE","FEMALE","Tuesday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLOUDY","CLEAR","STOP SIGNS","YES","WET","FOUR WAY INTERSECTION","ONE-WAY, NOT DIVIDED","INTERSECTION","EASTBOUND","NORTHBOUND","EASTBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","1","LEFT FRONT",0,1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,1,0,1,0,1,1,1,0,0,0,0
"183",2016,2,16,19,"MALE","FEMALE","Tuesday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DARK - LIGHTED ROADWAY","RAIN","CLEAR","TRAFFIC CONTROL SIGNAL","YES","WET","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","NORTHBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","1","REAR CENTER",0,0,0,"TRAVELING STRAIGHT AHEAD",NA,"CENTER FRONT",0,"OPERATOR/DRIVER",1,"OTHER",0,0,"D, CLASS D VEHICLES",0,1,1,1,0,0,0,1,1,0,0,0,0,1
"184",2015,9,11,0,"MALE","FEMALE","Friday","ANGLE","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DARK - LIGHTED ROADWAY","RAIN","CLEAR","STOP SIGNS","YES","WET","FOUR WAY INTERSECTION","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN","INTERSECTION","EASTBOUND","SOUTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","more_than2","RIGHT FRONT",0,1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT SIDE",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",1,0,0,1,0,0,0,0,0,1,0,0,0,0
"185",2015,5,1,16,"FEMALE","MALE","Friday","REAR-END","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DARK - LIGHTED ROADWAY","CLEAR","CLEAR","NO CONTROLS","YES","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","NORTHBOUND","WESTBOUND",1,0,"SLOWING OR STOPPED IN TRAFFIC","2","REAR CENTER",0,1,0,"TRAVELING STRAIGHT AHEAD","1","CENTER FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",0,0,1,1,0,1,0,1,1,0,0,1,0,1
"186",2016,6,6,13,"MALE","MALE","Monday","SIDESWIPE, OPPOSITE DIRECTION","OUTSIDE ROADWAY","COLLISION WITH PARKED MOTOR VEHICLE","DAYLIGHT","CLEAR","CLEAR","NO CONTROLS","NO","OTHER","OTHER","UNKNOWN","NON INTERSECTION","EASTBOUND","NORTHBOUND","WESTBOUND",1,1,"PARKED","0","RIGHT REAR",0,1,1,"TURNING RIGHT","1","RIGHT SIDE",0,"OTHER",1,"D, CLASS D VEHICLES",0,1,"D, CLASS D VEHICLES",1,0,0,0,0,0,0,1,1,0,0,1,0,1
"187",2016,1,20,11,"FEMALE","FEMALE","Wednesday","SIDESWIPE, SAME DIRECTION","ROADWAY","COLLISION WITH MOTOR VEHICLE IN TRAFFIC","DAYLIGHT","CLEAR","CLOUDY","TRAFFIC CONTROL SIGNAL","YES","DRY","NOT AT INTERSECTION","TWO-WAY, NOT DIVIDED","NON INTERSECTION","EASTBOUND","SOUTHBOUND","EASTBOUND",1,0,"TRAVELING STRAIGHT AHEAD","1","RIGHT FRONT",0,1,0,"ENTERING TRAFFIC LANE","1","LEFT FRONT",0,"OPERATOR/DRIVER",1,"D, CLASS D VEHICLES",1,1,"D, CLASS D VEHICLES",1,0,0,0,0,0,0,0,0,0,0,0,0,0
